,index,nama produk,harga,jumlah terjual,kondisi ,berat ,rating ,jumlah ulasan,asal pengiriman,ulasan terbaru,waktu ulasan terbaru,waktu diskusi terbaru,waktu balasan terbaru,balasan diskusi terbaru
0,0,1MORE Piston Buds True Wireless In-Ear Headphones PistonBud Earphone - Putih,299000,90,Baru,250,4.9,45, Jakarta Utara,Cepet bat tiba tiba sampe,20-04-2021,,,
1,0,"Amazfit GTR 2 SmartWatch Blood Oksigen Play Music Bluetooth Call - GTR 2e - BLACK, Paket Standart",1599000,135,Baru,250,4.9,83, Jakarta Utara,barang bagus...,14-04-2021,,,
